Dia,Hora,EXP_NEN,EXP_NESE,EXP_NE,EXP_SULSECO,EXP_NS
1,00:00,4189.6,4817.6,9007.2,4591.0,73.7
1,00:30,4309.8,4960.900000000001,9270.7,4278.0,201.2
1,01:00,4141.3,4944.400000000001,9085.7,3859.5,248.8
1,01:30,3973.8,4874.3,8848.1,1180.1,249.7
1,02:00,4015.5,4806.1,8821.6,4006.7,305.0
1,02:30,4009.7999999999997,4860.3,8870.1,4443.6,373.2
1,03:00,4185.0,4861.2,9046.2,3973.8,241.1
1,03:30,3853.6,5100.3,8953.9,675.3000000000002,488.5
1,04:00,4231.5,4965.1,9196.6,5309.7,386.5
1,04:30,4070.7,5048.3,9119.0,4542.6,457.4
1,05:00,4104.3,4675.400000000001,8779.7,4388.1,254.0
1,05:30,4342.8,4419.3,8762.1,4942.9,-89.19999999999999
1,06:00,4541.3,4941.2,9482.5,5184.3,257.09999999999997
1,06:30,4504.9,5311.1,9816.0,4924.2,636.8
1,07:00,5910.2,7291.0,13201.2,4839.7,1570.6000000000001
1,07:30,5832.3,8067.3,13899.6,2455.8,2101.4
1,08:00,6923.9,8016.700000000001,14940.6,822.5000000000001,1774.2
1,08:30,6915.9,7768.6,14684.5,3231.4,1465.1
1,09:00,6457.9,7486.8,13944.7,4923.7,1751.9
1,09:30,6333.4,7933.2,14266.6,2923.9,2134.8
1,10:00,5851.9,7933.6,13785.5,2555.9,2385.6
1,10:30,5880.0,7947.3,13827.3,2965.3,2379.7
1,11:00,5590.3,7603.7,13194.0,665.9,2349.1
1,11:30,5776.8,7121.8,12898.6,4681.9,1889.6
1,12:00,5282.3,6827.5,12109.8,2871.9,1896.1999999999998
1,12:30,5391.6,6894.7,12286.300000000001,3857.6,1941.1
1,13:00,5418.2,6689.8,12108.0,3710.7,1736.0
1,13:30,5265.1,6679.0,11944.1,1189.6,1772.6999999999998
1,14:00,5090.3,6170.3,11260.6,424.6000000000001,1465.5
1,14:30,5236.7,5259.7,10496.4,5439.5,707.0
1,15:00,5144.2,5303.6,10447.8,4723.2,745.3
1,15:30,5229.0,5508.7,10737.7,5105.4,817.8
1,16:00,5033.8,5530.1,10563.9,5689.5,712.1999999999999
1,16:30,4842.0,5509.5,10351.5,6046.8,741.8
1,17:00,4055.7,5110.4,9166.1,5095.8,854.9
1,17:30,3584.4,4917.1,8501.5,4543.4,948.0
1,18:00,2707.8,5584.2,8292.0,2846.5,2190.2
1,18:30,2063.2,6072.9,8136.099999999999,2289.5,3057.4
1,19:00,3017.7,6257.3,9275.0,2252.7000000000003,2679.0
1,19:30,3191.1,6064.9,9256.0,2208.8,2424.7
1,20:00,3464.9,6439.0,9903.9,881.7,2261.0
1,20:30,4152.6,5938.6,10091.2,1250.1,1396.4
1,21:00,4440.5,6065.9,10506.4,1350.2,1220.3
1,21:30,4556.3,5924.0,10480.3,1651.1999999999998,1037.4
1,22:00,4690.5,5919.900000000001,10610.4,4921.3,1042.3
1,22:30,4117.1,5173.599999999999,9290.7,6216.5,806.7
1,23:00,4323.4,5072.1,9395.5,4373.3,662.2
1,23:30,4174.8,5085.6,9260.4,3942.5,712.5
2,00:00,4544.6,5402.1,9946.7,2543.7,709.6
2,00:30,4595.7,5976.0,10571.7,1041.9,1023.1
2,01:00,4833.6,5611.9,10445.5,4616.5,694.0
2,01:30,4745.5,5734.1,10479.6,4707.0,836.4000000000001
2,02:00,4366.0,4983.6,9349.6,4554.0,675.5
2,02:30,4221.3,5070.1,9291.4,3789.9,820.0999999999999
2,03:00,3388.1,4326.1,7714.2,2934.1,868.1
2,03:30,3420.6000000000004,4355.7,7776.3,4132.9,841.2
2,04:00,3505.7,4575.9,8081.6,3175.8,718.4
2,04:30,3511.5,4512.5,8024.0,4220.3,674.1
2,05:00,3467.4,4449.7,7917.1,2909.5,629.2
2,05:30,3676.5,4196.0,7872.5,2363.1,359.9
2,06:00,4173.5,4454.6,8628.1,5371.3,377.4
2,06:30,4017.0,5144.8,9161.8,2471.0,1067.1
2,07:00,5162.2,7023.0,12185.2,1846.3,2057.0
2,07:30,5262.7,6645.9,11908.6,3876.9,1857.1999999999998
2,08:00,5220.7,6507.7,11728.4,3967.2,1848.2
2,08:30,4972.9,7141.2,12114.1,414.7,2415.5
2,09:00,4867.8,7015.3,11883.1,753.1,2354.0
2,09:30,4817.9,7123.3,11941.2,747.9,2445.8
2,10:00,4654.2,6582.0,11236.2,2247.0,2223.0
2,10:30,4665.5,6467.8,11133.300000000001,3281.4,2155.0
2,11:00,4219.0,6073.6,10292.6,2628.3,2081.9
2,11:30,4316.0,5836.5,10152.5,4393.3,1870.1
2,12:00,4112.9,5331.6,9444.5,2527.0,1755.8
2,12:30,4140.9,5122.9,9263.8,2884.7000000000003,1587.7
2,13:00,4342.2,4514.7,8856.9,5311.9,1074.0
2,13:30,4119.099999999999,5119.1,9238.2,1727.8999999999999,1594.4
2,14:00,4046.1,4859.5,8905.6,1416.2999999999997,1430.1
2,14:30,4267.8,3881.8,8149.6,5056.1,553.3
2,15:00,4421.4,3772.2000000000003,8193.6,5845.1,413.4
2,15:30,4400.1,4291.6,8691.7,4069.1,806.9
2,16:00,3965.6000000000004,3227.9,7193.5,6324.0,99.6
2,16:30,3674.4,3668.9,7343.3,3382.9,508.5
2,17:00,2907.7,3022.2,5929.9,4668.6,62.0
2,17:30,2521.5,2742.8,5264.3,6895.5,124.4
2,18:00,1061.8,4660.1,5721.9,1683.8999999999999,2419.6
2,18:30,1267.1,5125.7,6392.8,1518.1,2657.7
2,19:00,1713.9,5717.8,7431.7,1345.4,2773.6000000000004
2,19:30,2024.8000000000002,5474.8,7499.6,1521.7,2379.6
2,20:00,2833.0,5834.0,8667.0,1808.1000000000001,1892.6
2,20:30,3012.5,5773.8,8786.3,1891.1,1713.6999999999998
2,21:00,2415.4,5048.6,7464.0,2076.6,1381.2
2,21:30,2532.4,5048.9,7581.3,2154.0,1339.0
2,22:00,2643.5,4838.8,7482.3,6071.099999999999,1225.9
2,22:30,2676.0,4759.5,7435.5,3243.0,1035.7
2,23:00,2956.0,4647.1,7603.1,5831.3,900.6
2,23:30,3260.0,4742.1,8002.1,3757.4,783.9
3,00:00,2102.5,4398.6,6501.1,4531.4,1624.0
3,00:30,2037.5,4553.9,6591.4,4284.8,1779.2
3,01:00,1724.9,4178.3,5903.2,3623.2,1815.4
3,01:30,1706.7,4136.0,5842.7,2814.6,1800.1999999999998
3,02:00,1669.2,3749.7,5418.9,5580.6,1586.1000000000001
3,02:30,1565.8999999999999,4003.3,5569.2,3159.0,1719.1000000000001
3,03:00,1717.9,4123.2,5841.1,4704.8,1653.6
3,03:30,1535.6,4266.9,5802.5,2236.0,1807.4
3,04:00,2067.3,4641.0,6708.3,4071.2000000000003,1668.5
3,04:30,2049.5,4769.4,6818.9,3351.9,1770.5
3,05:00,1916.6,5030.9,6947.5,2041.0000000000002,1990.5
3,05:30,2471.5,4753.8,7225.3,4314.8,1607.5
3,06:00,2309.8,5077.8,7387.6,3880.9,1807.0
3,06:30,2254.6,5610.7,7865.3,1859.3,2326.0
3,07:00,3004.6,7073.2,10077.8,1811.1999999999998,3098.7
3,07:30,2967.0,6937.6,9904.6,1795.1999999999998,3047.5
3,08:00,3211.2,7692.700000000001,10903.9,1273.4,3432.8999999999996
3,08:30,3180.9,7629.5,10810.4,1085.9,3426.7
3,09:00,2802.6000000000004,7180.0,9982.6,921.3,3130.4
3,09:30,2774.8,7048.8,9823.6,805.6999999999999,3023.8
3,10:00,2486.7,5958.9,8445.6,2219.0,2320.9
3,10:30,2574.9,5719.3,8294.2,3398.0,2205.0
3,11:00,1932.5,5233.0,7165.5,1418.1999999999998,2154.5
3,11:30,2198.8,4803.8,7002.6,4640.0,1692.3
3,12:00,2223.3,4245.3,6468.599999999999,5767.2,1579.8
3,12:30,2241.1,4265.6,6506.7,6046.4,1573.6000000000001
3,13:00,1547.8,3905.3,5453.1,3229.1,1786.8000000000002
3,13:30,1454.2,3955.6,5409.8,3886.5,1737.6
3,14:00,1724.4,4706.0,6430.400000000001,4603.2,2236.3
3,14:30,1636.3,4702.1,6338.4,4466.0,2162.0
3,15:00,1842.7,5057.4,6900.1,4674.4,2398.5
3,15:30,1750.7,4952.9,6703.599999999999,5037.7,2329.4
3,16:00,1214.3,4466.8,5681.099999999999,4864.9,2312.1
3,16:30,1284.6,4655.3,5939.9,4740.9,2434.3
3,17:00,1128.8,4501.6,5630.4,4552.4,2220.1
3,17:30,951.1,4496.8,5447.900000000001,4446.0,2244.5
3,18:00,1318.5,5247.2,6565.7,4016.7,2767.0
3,18:30,1328.1,5508.6,6836.7,3622.7,2979.8999999999996
3,19:00,1583.8,6018.3,7602.1,3265.6,3213.7
3,19:30,1448.5,5763.9,7212.4,3435.2999999999997,3099.9
3,20:00,1762.8,6388.900000000001,8151.7,3625.3,3287.3
3,20:30,1632.3,6144.5,7776.8,3837.2,3152.6
3,21:00,1365.6,5789.1,7154.7,3851.9,2938.5
3,21:30,1351.6,5508.5,6860.099999999999,4141.2,2827.5
3,22:00,1342.3,5406.3,6748.6,4688.3,2696.0
3,22:30,903.1,4642.8,5545.9,5041.2,2312.4
3,23:00,1272.7,5089.6,6362.3,3466.1,2533.7
3,23:30,1032.2,4636.4,5668.6,3292.8,2269.0
4,00:00,1819.3,4156.2,5975.5,4745.6,1437.0
4,00:30,1771.2,4551.5,6322.7,2207.6,1764.8000000000002
4,01:00,1860.9,4217.7,6078.6,3378.8,1565.2
4,01:30,1794.0,4498.8,6292.8,2214.5,1849.6
4,02:00,1875.1,4548.1,6423.2,3222.9,1696.3
4,02:30,1885.0,4325.5,6210.5,4215.5,1570.6
4,03:00,1453.7,4482.0,5935.7,1753.5,1698.1
4,03:30,1622.0,4203.2,5825.2,3731.0,1519.2
4,04:00,1342.1,3816.2,5158.3,4071.6,1453.5
4,04:30,1170.2,4031.1,5201.3,1978.7,1567.4
4,05:00,1327.9,3945.2,5273.1,2394.1,1504.8999999999999
4,05:30,1729.4,3591.0,5320.400000000001,3336.6,1007.1
4,06:00,1951.6,4331.8,6283.4,3839.6,1561.6
4,06:30,2139.2,4023.2999999999997,6162.5,4988.3,1109.1
4,07:00,2767.7,5860.6,8628.3,2684.3,2604.9
4,07:30,2808.2,5500.4,8308.6,3947.1,2376.0
4,08:00,2713.2,6198.2,8911.4,163.09999999999994,3014.9
4,08:30,2751.8,6123.9,8875.7,-122.39999999999995,3042.3999999999996
4,09:00,1991.5,4821.400000000001,6812.9,1033.6,2344.3
4,09:30,2012.8,4704.700000000001,6717.5,1261.6999999999998,2339.1
4,10:00,1408.7,3604.9,5013.6,2537.7999999999997,1820.6
4,10:30,1690.1,3538.6,5228.7,3900.4,1753.5
4,11:00,1240.6,3092.9,4333.5,3672.7,1595.5
4,11:30,1167.7,3193.6,4361.3,2831.0,1620.9
4,12:00,1574.5,3514.0,5088.5,3514.5,1730.8000000000002
4,12:30,1558.4,3568.2,5126.6,3856.4,1751.2
4,13:00,1237.2,2707.6,3944.8,6873.4,1434.4
4,13:30,1208.5,2547.2,3755.7,8052.8,1416.2
4,14:00,1380.9,2692.5,4073.4,8737.3,1451.5
4,14:30,1336.0,2850.6,4186.6,8255.2,1607.0
4,15:00,1639.8,4479.8,6119.6,5348.5,2214.2
4,15:30,1484.3,4504.2,5988.5,5008.9,2285.8
4,16:00,938.2,4104.7,5042.900000000001,4870.1,2205.9
4,16:30,868.0,4096.0,4964.0,4629.5,2154.1
4,17:00,-34.60000000000001,2644.8,2610.2,4279.900000000001,1514.1
4,17:30,119.89999999999999,2996.6000000000004,3116.5,4116.0,1699.6000000000001
4,18:00,789.7,4076.8999999999996,4866.599999999999,3757.6,2411.1000000000004
4,18:30,874.9000000000001,4216.0,5090.900000000001,2829.3,2436.1
4,19:00,1260.9,5194.4,6455.3,2791.1,2931.2
4,19:30,1074.6,4918.4,5993.0,3050.2,2806.2999999999997
4,20:00,1459.7,5671.2,7130.9,3428.8,3079.9
4,20:30,1399.8,5472.3,6872.1,3698.2999999999997,2939.3
4,21:00,1454.2,5679.0,7133.2,3786.1000000000004,3016.7000000000003
4,21:30,1262.6,5300.5,6563.099999999999,4019.6,2821.4
4,22:00,958.0,4727.9,5685.9,4725.8,2629.1
4,22:30,600.5,4150.7,4751.2,5157.7,2393.6
4,23:00,667.9000000000001,4147.5,4815.4,4085.2000000000003,2244.5
4,23:30,524.7,4117.8,4642.5,4038.5,2182.1
5,00:00,875.7,3839.0,4714.7,3237.5,1741.4
5,00:30,1046.3,3967.8,5014.1,3533.7,1725.4
5,01:00,1239.7,3761.6,5001.3,6227.8,1580.3
5,01:30,1362.6,3888.3,5250.900000000001,4967.4,1635.8
5,02:00,1119.0,3712.2,4831.2,3161.7,1705.3
5,02:30,1236.5,3659.1,4895.6,4784.9,1702.7
5,03:00,1151.0,3796.7,4947.7,2891.1,1715.5
5,03:30,1299.1,3494.7999999999997,4793.9,5076.5,1566.8000000000002
5,04:00,1147.2,3813.1000000000004,4960.3,2447.5,1767.4
5,04:30,1272.2,3485.7999999999997,4758.0,5050.5,1509.3
5,05:00,1545.8000000000002,3733.6,5279.4,4304.0,1628.5
5,05:30,1665.0,3790.6,5455.6,2480.4,1514.3
5,06:00,2263.1,3701.8,5964.9,5524.1,1149.7
5,06:30,2124.6,4431.5,6556.1,2819.1,1833.6
5,07:00,3575.6,5862.7,9438.3,4294.0,2454.4
5,07:30,3535.6,6012.8,9548.4,3941.0,2619.4
5,08:00,3386.0,7344.799999999999,10730.8,377.0999999999999,3608.3999999999996
5,08:30,3370.8,7250.000000000001,10620.800000000001,666.1,3680.4
5,09:00,3246.9,6973.6,10220.5,1118.9,3521.3999999999996
5,09:30,3259.5,7003.4,10262.9,1017.8999999999999,3578.3
5,10:00,3353.7,7301.4,10655.1,1188.6,3619.2
5,10:30,3288.3,7274.2,10562.5,1101.3999999999999,3730.1
5,11:00,3135.2,6912.1,10047.3,1569.2,3488.0
5,11:30,3293.1,6830.1,10123.2,2694.6,3465.2
5,12:00,2827.2,5839.9,8667.1,3232.7000000000003,3144.5
5,12:30,2815.1,5837.3,8652.4,3026.1,3119.0
5,13:00,2691.4,5605.8,8297.2,3050.3,3082.5
5,13:30,2674.4,5262.900000000001,7937.3,5544.8,2799.5
5,14:00,2373.7,4985.0,7358.7,3802.0,2827.1
5,14:30,2413.1,4988.5,7401.6,5840.7,2770.3
5,15:00,2159.1,5082.6,7241.7,2984.9,2975.4
5,15:30,2037.7,4984.1,7021.8,2808.8,3025.7
5,16:00,1580.2,4428.4,6008.599999999999,5705.3,2663.6
5,16:30,1500.2,4464.6,5964.8,5532.3,2987.9
5,17:00,422.20000000000005,3226.6,3648.7999999999997,5333.9,1952.0
5,17:30,526.4,3462.4,3988.7999999999997,5185.5,2031.8
5,18:00,671.3,4058.6,4729.9,4782.5,2259.9
5,18:30,809.9,4280.5,5090.4,3956.7000000000003,2315.6
5,19:00,818.9000000000001,4489.5,5308.400000000001,3691.6,2386.7
5,19:30,617.8,4305.7,4923.5,3889.7000000000003,2303.3
5,20:00,704.5999999999999,4649.8,5354.400000000001,4206.3,2411.2
5,20:30,705.2,4585.6,5290.8,4535.2,2408.1
5,21:00,307.5,4046.6,4354.1,4473.5,2155.3
5,21:30,281.1,3830.0,4111.1,4775.6,2089.5
5,22:00,92.5,3461.8,3554.2999999999997,5380.099999999999,2060.5
5,22:30,-174.89999999999998,3152.1,2977.2,5593.1,1869.2
5,23:00,-518.3,3039.5,2521.2,5922.9,1904.3
5,23:30,-301.90000000000003,3030.8,2728.9,5969.8,1846.4
6,00:00,346.8,3341.5,3688.3,5415.5,1727.8
6,00:30,457.3,3175.5,3632.8,6547.700000000001,1553.0
6,01:00,376.5,3528.1000000000004,3904.6,4827.0,1667.6
6,01:30,340.9,3458.3,3799.2000000000003,3187.0,1583.1
6,02:00,324.30000000000007,3588.1,3912.4,2128.9,1474.4
6,02:30,479.1,3490.4,3969.5,6045.4,1548.2
6,03:00,435.4,3722.3,4157.7,4109.0,1665.4
6,03:30,225.9,3605.3,3831.2,1747.2,1572.6
6,04:00,355.5,3693.5,4049.0,5950.2,1582.7
6,04:30,437.9,3627.5,4065.4,5739.4,1560.6999999999998
6,05:00,819.5,3351.8,4171.3,6121.8,1111.3
6,05:30,1117.6,2571.0,3688.6,4563.0,217.6
6,06:00,1770.5,3006.9,4777.4,5899.0,286.0
6,06:30,1859.3,3036.2,4895.5,5920.2,309.2
6,07:00,3047.2,6063.0,9110.2,4105.7,2138.2
6,07:30,2754.2,6392.6,9146.8,2112.2999999999997,2536.0
6,08:00,2861.1,7337.1,10198.2,155.40000000000003,3037.8
6,08:30,2873.0,7303.5,10176.5,387.7,3038.9
6,09:00,2979.6,7431.700000000001,10411.3,242.1000000000002,3253.1
6,09:30,2931.5,7408.5,10340.0,192.70000000000002,3194.0
6,10:00,2966.6,7339.8,10306.4,197.50000000000003,3249.3
6,10:30,2875.7,7278.6,10154.300000000001,-166.09999999999985,3137.3999999999996
6,11:00,2703.2,6773.2,9476.4,147.90000000000006,3029.5
6,11:30,2682.4,6788.4,9470.8,43.99999999999986,3002.0
6,12:00,2694.6000000000004,6542.6,9237.2,912.6999999999999,2991.4
6,12:30,2647.5,6535.6,9183.1,1069.5,2967.8
6,13:00,2473.0,6270.3,8743.3,1633.8,2774.8
6,13:30,2366.7,6070.599999999999,8437.3,2084.1,2729.3
6,14:00,1945.4,5681.3,7626.7,2455.2999999999997,2775.8
6,14:30,1784.9,5861.299999999999,7646.2,2190.8,3082.3
6,15:00,1585.0,5761.9,7346.9,2079.6,3137.1000000000004
6,15:30,1471.6,5556.5,7028.1,1743.3999999999999,3020.1
6,16:00,871.4,4493.8,5365.2,1717.5,2456.8
6,16:30,805.4,4419.8,5225.200000000001,2051.2,2354.9
6,17:00,-61.69999999999999,3035.9,2974.2000000000003,3951.5,1520.4
6,17:30,69.60000000000002,3387.2,3456.8,3903.8999999999996,1685.1
6,18:00,218.39999999999998,3624.5,3842.9,4600.5,1736.0
6,18:30,288.5,3684.3999999999996,3972.8999999999996,3984.0,1720.7
6,19:00,472.80000000000007,4262.3,4735.1,3757.2,2061.1
6,19:30,364.5,4180.4,4544.9,3874.7,2058.5
6,20:00,556.1,4580.1,5136.2,4209.1,2269.8
6,20:30,458.5,4494.3,4952.8,4250.7,2219.1
6,21:00,588.7,4675.4,5264.1,3974.7,2292.1
6,21:30,420.3,4475.1,4895.400000000001,4262.2,2215.1
6,22:00,254.29999999999995,4122.4,4376.7,4430.9,2047.5
6,22:30,-33.30000000000001,3759.9,3726.6,4083.6,1891.7
6,23:00,-347.1000000000001,3630.1,3283.0,2514.7,1914.0
6,23:30,-324.19999999999993,3677.9,3353.7,2149.1,1836.1
7,00:00,365.9,3595.8,3961.7,6424.1,1508.7
7,00:30,577.8000000000001,3884.9,4462.7,3664.5,1501.6
7,01:00,658.3,3685.6,4343.9,4818.0,1517.4
7,01:30,608.7,3761.6,4370.3,1480.0,1488.6999999999998
7,02:00,270.1,3597.6,3867.7,1420.1,1329.2
7,02:30,349.20000000000005,3726.3,4075.5,1764.1,1406.3
