Dia,Hora,FOZIB_MW,PVLARRQ_MW,CPVPVL_MW,XESTR_MW,XTRIO_MW
1,00:00,694.0,53.28,44.96,2940.0,200.0
1,00:30,694.0,492.83,20.46,200.0,2996.0
1,01:00,694.0,527.1,23.45,200.0,3034.0
1,01:30,694.0,735.0,40.0,3110.0,200.0
1,02:00,694.0,157.0,630.0,3210.0,200.0
1,02:30,694.0,381.0,420.0,3314.0,200.0
1,03:00,694.0,133.53,473.32,3402.0,200.0
1,03:30,694.0,368.7,358.26,3484.0,200.0
1,04:00,694.0,1001.0,40.0,200.0,3500.0
1,04:30,694.0,680.0,800.0,200.0,3538.0
1,05:00,694.0,660.0,800.0,200.0,3590.0
1,05:30,694.0,1400.0,40.0,200.0,3716.0
1,06:00,694.0,720.0,40.0,200.0,3852.0
1,06:30,694.0,327.0,420.0,200.0,3438.0
1,07:00,694.0,715.0,40.0,1500.0,4000.0
1,07:30,694.0,536.41,24.55,1500.0,4000.0
1,08:00,694.0,516.09,19.0,1500.0,4000.0
1,08:30,694.0,773.0,40.0,1500.0,4000.0
1,09:00,694.0,529.86,19.08,1500.0,4000.0
1,09:30,694.0,792.0,40.0,1500.0,4000.0
1,10:00,694.0,508.59,18.63,1500.0,4000.0
1,10:30,694.0,764.0,40.0,1500.0,4000.0
1,11:00,694.0,770.0,40.0,854.0,4000.0
1,11:30,694.0,777.0,40.0,860.0,4000.0
1,12:00,694.0,526.74,18.7,200.0,3014.0
1,12:30,694.0,790.0,40.0,200.0,2890.0
1,13:00,694.0,797.0,40.0,200.0,2850.0
1,13:30,694.0,868.0,40.0,200.0,2848.0
1,14:00,694.0,875.0,40.0,200.0,3650.0
1,14:30,694.0,502.0,420.0,200.0,3576.0
1,15:00,694.0,572.0,420.0,200.0,3574.0
1,15:30,694.0,198.0,800.0,200.0,3554.0
1,16:00,694.0,584.0,420.0,200.0,3582.0
1,16:30,694.0,590.0,420.0,3768.0,200.0
1,17:00,694.0,595.0,420.0,3840.0,200.0
1,17:30,694.0,601.0,420.0,4000.0,372.0
1,18:00,406.0,606.0,420.0,3934.0,200.0
1,18:30,844.0,610.0,420.0,3944.0,200.0
1,19:00,243.0,994.0,40.0,3538.0,200.0
1,19:30,243.0,998.0,40.0,3436.0,200.0
1,20:00,243.0,1002.0,40.0,200.0,3242.0
