Dia,Hora,EXP_NEN,EXP_NESE,EXP_NE,EXP_SULSECO,EXP_NS
1,00:00,4556.2,5356.5,9912.7,4368.3,263.8
1,00:30,4531.4,5420.0,9951.4,3174.4,353.20000000000005
1,01:00,4561.6,5177.1,9738.7,4590.8,187.7
1,01:30,4573.7,5317.5,9891.2,3296.9,331.4
1,02:00,4377.1,5086.200000000001,9463.3,4702.0,280.3
1,02:30,4148.4,5315.5,9463.9,1561.8000000000002,496.4
1,03:00,4461.4,5668.2,10129.6,2404.1,675.0
1,03:30,4558.2,5334.2,9892.4,4970.3,495.79999999999995
1,04:00,4539.1,5394.5,9933.6,5186.6,466.5
1,04:30,4310.9,5676.0,9986.9,2919.3,732.7
1,05:00,4342.4,5488.7,9831.1,4272.2,755.6
1,05:30,4400.6,5545.4,9946.0,1725.6000000000001,718.4
1,06:00,5091.4,5813.9,10905.3,6038.2,636.9
1,06:30,4819.8,6480.5,11300.3,2837.0,1240.6
1,07:00,7619.3,7878.4,15497.699999999999,1797.7,760.2
1,07:30,7827.9,7443.4,15271.3,4036.0,395.7
1,08:00,8779.5,7761.8,16541.3,1869.6000000000001,70.9
1,08:30,8776.8,7849.6,16626.4,1824.9999999999998,148.5
1,09:00,8297.4,7736.799999999999,16034.2,3097.6,595.8000000000001
1,09:30,8265.2,7794.9,16060.1,2404.2999999999997,643.5999999999999
1,10:00,7459.7,8160.4,15620.1,466.20000000000005,1543.3999999999999
1,10:30,7589.1,7666.099999999999,15255.199999999999,3813.1,1151.0
1,11:00,6454.5,8150.900000000001,14605.4,3250.7000000000003,2323.6
1,11:30,6423.0,8129.8,14552.8,3097.0,2339.5
1,12:00,5731.1,7892.8,13623.9,1668.5,2503.6
1,12:30,5906.3,7727.900000000001,13634.2,3673.2,2302.1
1,13:00,5812.3,7785.7,13598.0,1990.1999999999998,2345.1
1,13:30,5899.1,7283.8,13182.9,4362.4,1947.4
1,14:00,5646.2,6763.3,12409.5,3787.7,1656.4
1,14:30,5606.4,6838.4,12444.8,1267.2,1663.6
1,15:00,5517.2,5946.0,11463.2,5085.5,1020.9
1,15:30,5534.1,5520.7,11054.800000000001,6475.9,700.8
1,16:00,5469.6,5781.400000000001,11251.0,6138.1,644.3
1,16:30,5306.5,5959.3,11265.8,6052.5,794.4
1,17:00,4528.2,5569.6,10097.8,3770.1,866.2
1,17:30,4130.8,5387.9,9518.7,4710.5,971.7
1,18:00,3122.2,6189.8,9312.0,1660.7,2329.7
